ID 名字 股市 板块分类 成立日期 下市时间 全名 地址 主要业务 
000515 攀渝钛业 深市 主板 1993-07-12 2009-05-06 攀钢集团重庆钛业股份有限公司 重庆市巴南区走马二村51号 金红石型、锐钛型钛白粉及其副品，铁系颜料、油漆、工业硫酸、硫酸二甲酯、二甲硫酯、氯化亚砚、酰肼、硝基甲烷和其它化工产品、建材。经营本企业自产产品及相关技术的出口业务（国家限定公司经营或禁止出口的商品除外）；经营本企业生产所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进出口业务（国家限定公司经营或禁止进出口的商品除外）；经营本企业的进料加工和“三来一补”业务。
000516 国际医学 深市 主板 1993-08-09 NAN 西安国际医学投资股份有限公司 陕西省西安市高新区团结南路16号保障楼5层 医疗服务和百货零售业
000517 荣安地产 深市 主板 1993-08-06 NAN 荣安地产股份有限公司 浙江省宁波市海曙区灵桥路513号天封大厦11楼 15楼
000518 四环生物 深市 主板 1993-09-08 NAN 江苏四环生物股份有限公司 江苏省江阴市滨江开发区定山路10号 原料药片剂酒剂注射剂及生物制品的制造销售
000519 中兵红箭 深市 主板 1993-10-08 NAN 中兵红箭股份有限公司 河南省南阳市仲景北路1669号中南钻石有限公司院内 各型内燃机的关键基础件--汽缸套、铝活塞的生产、销售。
000520 长航凤凰 深市 主板 1993-10-25 NAN 长航凤凰股份有限公司 湖北省武汉市汉口民权路39号汇江大厦10楼 长江干线、江海直达、沿海干散货运输行业
000521 美菱电器 深市 主板 1993-10-18 NAN 合肥美菱股份有限公司 安徽省合肥市经济技术开发区莲花路2163号 电冰箱、冰柜及空调、洗衣机的生产与销售。
000522 白云山A 深市 主板 1993-11-08 2013-04-26 广州白云山制药股份有限公司 广东省广州市白云区同和街云祥路88号 研制、生产、销售：中西成药、化学原料药、外用药、儿童用药、保健药。经营商业及物资供销业（国家专营专控商品除外）。提供证券投资、物业开发、产品开发、技术改造信息咨询服务。计算机软件开发。房地产中介服务。信息服务。技术服务。经营和代理各类商品及技术的进出口业务，但国家限定经营或禁止进出口的商品及技术除外（不另附进出口商品目录）；经营进料加工和“三来一补”业务；经营对销贸易和转口贸易。生产：二类临床检验分析仪器及诊断试剂、二类卫生材料及敷料（限分支机构经营）。化妆品、饮料、场地出租、物业管理。
000523 广州浪奇 深市 主板 1993-11-08 NAN 广州市浪奇实业股份有限公司 广东省广州市天河区黄埔大道东128号 日化产品。
000524 岭南控股 深市 主板 1993-11-18 NAN 广州岭南集团控股股份有限公司 广东省广州市流花路120号 经营旅馆业、餐饮业、场地出租等。
000525 红太阳 深市 主板 1993-10-28 NAN 南京红太阳股份有限公司 江苏省南京市江宁区竹山南路589号 农药、精细化工的生产、销售、技术咨询和服务。
